,index,table_title
0,0,"Clinical, Doppler Echocardiographic and Hemodynamic Characteristics in the Patients Grouped According to Baseline MFP and Acute Change After Loading Manipulations"
1,1,"Association (Multivariate Logistic Regression Analysis) Between Either Baseline MFP or Its Acute Change After Loading Manipulations and Tolerance to Beta-Blocker Treatment, Adjusting for Gender, Etiology, NYHA Class, LVEF and Peak VO2"
2,2,Baseline and Clinical Characteristics of the Two Patient Groups
3,3,Clinical Course of the Two Patient Groups
4,4,Characteristics and In-Hospital Outcome of the Study and the Registry Patients
5,5,Comparison of Demographic and Baseline Clinical Data Between Device and Surgical Closure Group
6,6,Comparison of Outcomes Between Device and Surgical Closure Groups
7,7,"Association (Multivariate Logistic Regression Analysis) Between Either Baseline MFP or Its Acute Change After Loading Manipulations and Improvement in LVEF, Deceleration Time and Mitral Regurgitation After Six-Month Beta-Blocker Treatment, Adjusting for Age, Gender, Etiology, NYHA Class, Baseline LVEF and Peak VO2"
8,8,Major Adverse Cardiovascular Events and Revascularizationlegend
9,9,Comparison of Complications Between Device and Surgical Closure Groups
10,10,Antisense Histopathologic Findings
11,11,Histomorphometric Results in Porcine Coronary Arteries 28 Days After Local Delivery of Antisense and Stent Implantation
12,12,Hemodynamic Data
13,13,Volunteer Characteristics
14,14,Baseline Demographics
15,15,Hazard Ratio of Elevated CRP for Death or Nonfatal Myocardial Infarction Among Subjects With Angiographic Adjusted for Various Angiographic Markers*on Disease Severity
16,16,Baseline Clinical and Angiographic Characteristics (n = 29)
17,17,Hemodynamic Parameters and pO2During the AO Infusion
18,18,Ergometric Parameters
19,19,Baseline Clinical and Procedural Characteristics of the Study Population
20,20,Clinical Events at Six-Month Clinical Follow-Up
21,21,Quantitative Coronary Angiographic Analysis
22,22,Clinical Characteristics of Subjects
23,23,Hemodynamics and Coronary Flow Velocity Measurements
24,24,Patient Characteristics
25,25,Hemodynamics
26,26,Coronary Flow Velocity Data
27,27,"Baseline Clinical, Doppler Echocardiographic and Hemodynamic Characteristics in All Patients and in the Patients Grouped According to MFP"
28,28,Results of Survival Analysis (Cox Proportional Hazards Model) for the Combined End Point: Cardiac Mortality + Urgent Heart Transplantation + Readmission for Congestive Heart Failure
29,29,Comparison of Surgical Outcomes and Survival Between Mice With MI and Sham-Operated Mice
30,30,"Study Schedule, Mortality Distribution and Three-Day Blood Pressure Measurements of the Various Treatment Groups"
31,31,Clinical Characteristics of the Control and Risk Groupslegend legend
32,32,Changes in Clinical Parameters After Two Weeks of Sauna Treatmentlegend legend
33,33,Number of Plaques in Which Lipid-Rich Core Occupies ≥40% of Total Plaque Area in Right and Left Femoral Arterieslegend
34,34,Number of Plaques With Superficial Inflammation in Right and Left Femoral Arterieslegend
35,35,Histomorphometric Measurements of the Four Studied Groups One Month After Implantation in Porcine Coronary Arterieslegend
36,36,Two-Way ANOVA and Interaction Term of the Histomorphometric Variables Studiedlegend
37,37,Subject Characteristicslegend
38,38,Comparison of Electrophysiologic and Hemodynamic Data Before and After Verapamillegend legend
39,39,"Plasma Concentrations of Arginine, Methylarginines, 8-epi-PGF2α, Lipid Profiles and Blood Pressure Before (Visit 1) and at the End (Visit 2) of Treatment With Oral Arginine/Placebolegend"
40,40,Exercise Tolerance and Ischemia Before (Visit 1) and at the End (Visit 2) of Treatment With Oral Arginine/Placebo
41,41,CFV Ratio in the LAD During Dobutamine Infusionlegend
42,42,Correlation Coefficient Between CFV Ratio and Wall Motion Score Variableslegend
43,43,Intention-to-Treat Analysis of Mortality Reduction With Abciximab in Studies Randomizing Patients to Standard Therapy or Standard Therapy Plus Abciximab With a 12-h Infusion After PCIlegend legend
44,44,Mortality Over Time Among All Patients in PCI Studies Randomizing Patients to Standard Therapy or Standard Therapy Plus Abciximab With a 12-h Infusion After PCI (Excludes Patients Not Randomized to a Common Intervention [EPISTENT PTCA/Abciximab Group])legend
45,45,"Baseline Demographic, Clinical and Angiographic Characteristics of the Study Grouplegend legend"
46,46,"Relative Changes in Platelet-Monocyte Interaction, Mac-1 Expression on Monocytes With Adherent Platelets and P-Selectin Surface Expression on Plateletslegend legend"
47,47,Baseline Clinical and Procedural Characteristics of Patients Receiving Intravascular Nitroprussidelegend
48,48,Intravascular Nitroprusside Administrationlegend legend
49,49,Change in Cineangiographic Flow with Intravascular Nitroprusside Administrationlegend legend legend
50,50,"Baseline Characteristics and Lipid Profiles of Patients With Hypercholesterolemia (x ± SD, n = 35) in the Two Treatment Groupslegend"
51,51,"Comparison of Changes in Lipid Profiles After the Two Week Treatment Period (>Δ% ± SEM, n = 35) With Cerivastatin or Placebolegend"
52,52,Forearm Blood Flow (ml/min/100 ml) at Baseline and Changes From Baseline for Different Doses of Intra-Arterial ACh and Sodium Nitroprusside in the Cerivastatin and the Placebo Group (x ± SD)legend legend
53,53,Baseline Characteristics of Patients With Congestive Heart Failure and Healthy Control Subjectslegend legend
54,54,"Logistic Regression Analysis for Clinical Outcome (MI, Death, TVR)legend"
55,55,"Verapamil-Induced Changes in AF Cycle Length, APD90and Dispersion Coefficientlegend legend"
56,56,Patient Characteristicslegend
57,57,Plasma Hormone Concentrations (mean ± SEM)legend
58,58,Baseline Characteristics
59,59,(re)Infarction by Antithrombotic Treatment
60,60,Mortality
61,61,MAP and HR During rhVEGF Infusionlegend
62,62,Baseline Clinical Characteristics of the Study Population (n = 276)legend
63,63,Baseline Angiographic and Procedural Characteristicslegend
64,64,Baseline Quantitative Angiographic Analysislegend
65,65,Follow-up Quantitative Angiographic Analysislegend
66,66,Major Adverse Clinical Events at One-Month and Six-Month Clinical Follow-uplegend
67,67,Logistic Regression Analysis for Stent Restenosislegend
68,68,Regional Coronary Blood Flow (ml/g/min) in LAD and LCX Territorylegend
69,69,Selected Characteristics of Patients Undergoing BITA versus SITA Revascularizationlegend
70,70,Comparison of BITA versus SITA for Hospital Mortality and Morbiditylegend
71,71,Multivariate Analysis for Determination of Propensity Score for the Performance of BITA versus SITA Revascularizationlegend legend
72,72,Odds Ratio for Hospital Mortality and Deep Sternal Wound Infections in Bilateral versus Single Internal Thoracic Artery With Various Adjustmentslegend
73,73,Hospital Mortality in BITA versus SITA Revascularization According to Mortality Risk Quartilelegend
74,74,"Demographic, Clinical and Laboratory Characteristics of the Study Groupslegend"
75,75,Clinical Characteristics by Transfer Statuslegend
76,76,Unadjusted 30-Day Death or Myocardial Infarction by Transfer Status and Randomized Treatmentlegend
77,77,Incidence and Timing of 30-Day Death or Myocardial Infarction in Transfer Patientslegend
78,78,Safety by Transfer Statuslegend
79,79,Clinical Characteristics of Patients Treated With Norepinephrinelegend
80,80,Incidence of Adverse Events Recorded During the Early 30 Days
81,81,Clinical Characteristics in Patients With and Without Coronary Steallegend
82,82,Angiographic Findings in Patients With and Without Coronary Steallegend
83,83,Hemodynamic Findings in Patients With and Without Coronary Steallegend
84,84,Clinical and Electrocardiographic Findings During Coronary Vasodilation in Patients With and Without Coronary Steallegend
85,85,Correlates of Coronary Steallegend
86,86,Hemodynamic and Dimension Datalegend
87,87,Mean Changes in Transmitral Flow Velocitieslegend
88,88,Patient Characteristics
89,89,"Patient Characteristics: Data Are Numbers (%), Except for Age and Cholesterol, Which Are Years and mmol/l (Standard Deviation), Respectively"
90,90,"Troponin I (μg/l) and C-reactive protein (CRP) (mg/l) Concentrations According to Prior Aspirin Use: Data for Troponin I Are Number (%) of Patients With Serum Concentration >0.1 μg/l, and for CRP Are Medians (Interquartile Range)"
