term	Topic	Freq	Term
269	1	0.42857142857142855	state
578	1	0.2727272727272727	inflamm
1187	1	0.5217391304347826	cathet
1197	1	0.5217391304347826	oper
1233	1	0.1774193548387097	provid
640	1	0.5555555555555556	activ
672	1	0.2702702702702703	ischem
903	1	0.37037037037037035	booster
17	1	0.36	antiplatelet
538	1	0.47368421052631576	quinacrin
577	1	0.47368421052631576	schedul
905	1	0.32142857142857145	reserv
930	1	0.2727272727272727	lobe
1056	1	0.391304347826087	ctca
641	1	0.5	particul
674	1	0.6153846153846154	section
43	1	0.14893617021276598	symptom
87	1	0.2592592592592593	generic
164	1	0.21212121212121215	cava
655	1	0.46666666666666673	long
968	1	1.0	resect
11	1	0.75	descript
217	1	1.0	devic
239	1	0.11320754716981132	regress
444	1	0.6	rural
492	1	0.5	resolut
687	1	0.25	elig
729	1	0.3157894736842105	york
754	1	0.75	assess
799	1	1.0	grade
806	1	0.75	point
1006	1	0.8571428571428571	haemostat
207	1	0.22727272727272727	vari
304	1	0.23809523809523808	practic
348	1	0.2777777777777778	separ
422	1	0.5	dynam
467	1	0.1724137931034483	inter
679	1	0.1388888888888889	reimburs
756	1	0.20833333333333334	south
837	1	0.2631578947368421	niddm
838	1	0.2631578947368421	terminolog
904	1	0.45454545454545453	systemat
969	1	0.08771929824561403	presenc
1184	1	0.21739130434782608	survivor
108	1	0.2857142857142857	oradj
138	1	0.5	extent
181	1	0.19047619047619047	tomograph
232	1	0.8	dilat
350	1	0.4444444444444444	census
477	1	0.4	govern
381	2	0.8414634146341463	hale
26	2	0.9142857142857143	ylls
1148	2	0.7887323943661971	tabl
452	2	0.9333333333333333	lwenstein
781	2	0.21259842519685043	histolog
357	2	0.9545454545454546	associ
457	2	0.4772727272727273	wheez
824	2	0.47619047619047616	losartan
982	2	0.8636363636363636	codon
737	2	0.9285714285714286	stemi
935	2	0.2549019607843137	world
1075	2	0.4642857142857143	expect
333	2	0.923076923076923	fraction
1074	2	0.25	origin
314	2	0.8571428571428571	global
550	2	0.39999999999999997	media
943	2	0.4285714285714285	pathway
1117	2	0.5999999999999999	telephon
1219	2	0.5999999999999999	admit
209	2	0.4166666666666667	march
268	2	0.3333333333333333	middl
328	2	0.35714285714285715	potenti
501	2	0.18518518518518517	secondari
575	2	0.625	papillomavirus
795	2	0.2631578947368421	dupilumab
839	2	0.8333333333333334	salin
108	2	0.2857142857142857	oradj
642	2	1.0	sixth
760	2	0.6666666666666666	agenc
913	2	0.36363636363636365	attent
43	2	0.06382978723404255	symptom
194	2	1.0	surviv
329	2	0.49999999999999994	possibl
393	2	0.49999999999999994	oesophagus
530	2	0.37499999999999994	tricuspid
618	2	1.0	polysaccharid
752	2	1.0	repair
759	2	0.37499999999999994	kidney
901	2	0.49999999999999994	wale
969	2	0.05263157894736841	presenc
1147	2	0.1764705882352941	prospect
1189	2	0.75	switch
19	2	0.6666666666666666	volunt
82	2	0.5	partner
118	2	1.0	replac
126	2	0.4	brachial
182	2	1.0	autopsi
236	2	0.14285714285714285	wors
254	2	1.0	statist
262	2	1.0	second
239	3	0.28301886792452835	regress
468	3	0.7	vaccin
1233	3	0.20967741935483872	provid
148	3	0.4444444444444444	vasc
781	3	0.09448818897637795	histolog
184	3	0.7857142857142857	dopamin
243	3	0.5238095238095238	plaqu
295	3	0.8461538461538461	behaviour
501	3	0.4074074074074074	secondari
86	3	0.8181818181818182	human
633	3	1.0	agatston
672	3	0.24324324324324326	ischem
219	3	0.6666666666666666	imag
