id	document	topic	plot_x	plot_y	topic_word	words_count
0	0	Hazard Ratio  (and 95% Confidence Intervals)  in Univariate and Multivariate Analysis of Predictors of Major Cardiac Events  (Cardiac Death or Worsening of Heart Failure Leading to Heart Transplantation)	7	9.664474	8.992035	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	19
1	1	Left Ventricular and Right Ventricular Ejection Fractions, Left Ventricular and Right Ventricular Mean Phases, Left-to-Right Mean Phase Difference  (L-RMP)  and Phase Standard Deviations for Both Ventricles in 30 Cases of Left Sided WPW legend	3	23.601093	-15.2017975	[('coronari', '4.33'), ('valu', '1.96'), ('arteri', '1.55'), ('sensit', '1.55'), ('legend', '1.44'), ('ventricular', '1.44'), ('wall', '1.44'), ('detect', '1.34'), ('angiographi', '1.34'), ('leav', '1.34')]	25
2	2	Partial Regression Coefficients  (All Subjects, n = 262)  for Forward Stepwise Linear Regression for Dependent Variables Augmentation Pressure and Augmentation Index    legend	7	11.646137	0.97763896	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	15
3	3	Left Ventricular  (LVEF)  and Right Ventricular  (RVEF)  Ejection Fractions, Left Ventricular  (LVMP)  and Right Ventricular  (RVMP)  Mean Phases, Left-to-Right Mean Phase Difference  (L-RMP)  and Phase Standard Deviations  (LVPSD and RVPSD)  for Both Ventricles in 14 Cases of Right Sided WPW legend	3	23.60182	-15.202716	[('coronari', '4.33'), ('valu', '1.96'), ('arteri', '1.55'), ('sensit', '1.55'), ('legend', '1.44'), ('ventricular', '1.44'), ('wall', '1.44'), ('detect', '1.34'), ('angiographi', '1.34'), ('leav', '1.34')]	31
4	4	Predictors of Mortality by Multivariable Analysis: Variables Are Shown in the Order They Entered a Stepwise Cox Regression Model	7	8.242556	3.2811804	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	11
5	5	Logistic Regression Models for Pre- and Post-Transplant Predictors for Normalization of Left Ventricular Ejection Fraction  (LVEF 50%)  in the Post-Transplant Period  (Reference Group: Group With LVEF 50% in the Post-Transplant Period)	7	13.225922	-0.97631407	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	22
6	6	Results of Survival Analysis  (Cox Proportional Hazards Model)  for the Combined End Point: Cardiac Mortality + Urgent Heart Transplantation + Readmission for Congestive Heart Failure	7	5.6147494	8.802479	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	17
7	7	Impact of Normal Versus Reduced Left Ventricular Ejection Fraction on the Mortality of Congestive Heart Failure Cases: Results of Cox Proportional Hazards Regression Models	7	4.419053	8.055964	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	18
8	8	Description of the Left Ventricular Ejection Fraction  (LVEF%)  at Different Time Periods: At the Time of Transplant Evaluation, While on the Waiting List to be Transplanted, and During the Follow-Up After Kidney Transplantation	3	12.462818	-1.2678202	[('coronari', '4.33'), ('valu', '1.96'), ('arteri', '1.55'), ('sensit', '1.55'), ('legend', '1.44'), ('ventricular', '1.44'), ('wall', '1.44'), ('detect', '1.34'), ('angiographi', '1.34'), ('leav', '1.34')]	18
9	9	Univariate Cox Regression Analysis and Cox Proportional Hazards Analysis of Predictors of Cardiac Death legend	7	9.879312	5.7678313	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	10
10	10	Gender-Specific Mean and Standard Deviation of LV Mass, End-Diastolic Volume, Stroke Volume, Ejection Fraction, and Cardiac Output by Cardiac MRI in MESA Participants	3	7.941769	-17.331753	[('coronari', '4.33'), ('valu', '1.96'), ('arteri', '1.55'), ('sensit', '1.55'), ('legend', '1.44'), ('ventricular', '1.44'), ('wall', '1.44'), ('detect', '1.34'), ('angiographi', '1.34'), ('leav', '1.34')]	17
11	11	Results of Multiple Logistic Regression Analysis: Final Significant Variables in Equation Using Forward Stepwise Selection  (Wald)	7	10.830174	2.0605228	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	13
12	12	Multivariable Cox Proportional Regression Analysis Showing Significant Predictors of Outcome  (Death, Heart Transplant, or Left Ventricular Assist Device Implantation)  in Cardiac Resynchronization Therapy Patients	7	9.8792095	7.0329175	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	19
13	13	Multiple regression analysis using Cox's proportional hazards model to determine the influence of individual variables on survival in hypopituitarism	7	8.23823	6.729453	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	12
14	14	ORs and RRs  (95% Confidence Intervals)  for Other Correlates of Preserved Left Ventricular Systolic Function in Order of Entry Into the Full Logistic Model	3	5.918713	-1.0695376	[('coronari', '4.33'), ('valu', '1.96'), ('arteri', '1.55'), ('sensit', '1.55'), ('legend', '1.44'), ('ventricular', '1.44'), ('wall', '1.44'), ('detect', '1.34'), ('angiographi', '1.34'), ('leav', '1.34')]	12
