id	document	topic	topic_prob	topic_word	plot_x	plot_y	td_x	td_y	td_z
0	0	Hazard Ratio  (and 95% Confidence Intervals)  in Univariate and Multivariate Analysis of Predictors of Major Cardiac Events  (Cardiac Death or Worsening of Heart Failure Leading to Heart Transplantation)	0	16	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	9.664474	8.992035	103.58746	72.253586	5.65633
1	1	Left Ventricular and Right Ventricular Ejection Fractions, Left Ventricular and Right Ventricular Mean Phases, Left-to-Right Mean Phase Difference  (L-RMP)  and Phase Standard Deviations for Both Ventricles in 30 Cases of Left Sided WPW legend	0	25	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	23.601093	-15.2017975	31.781635	89.92669	-82.63583
2	2	Partial Regression Coefficients  (All Subjects, n = 262)  for Forward Stepwise Linear Regression for Dependent Variables Augmentation Pressure and Augmentation Index    legend	0	12	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	11.646137	0.97763896	20.661259	124.87336	-45.061954
3	3	Left Ventricular  (LVEF)  and Right Ventricular  (RVEF)  Ejection Fractions, Left Ventricular  (LVMP)  and Right Ventricular  (RVMP)  Mean Phases, Left-to-Right Mean Phase Difference  (L-RMP)  and Phase Standard Deviations  (LVPSD and RVPSD)  for Both Ventricles in 14 Cases of Right Sided WPW legend	0	31	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	23.60182	-15.202716	24.231483	92.08438	-102.17858
4	4	Predictors of Mortality by Multivariable Analysis: Variables Are Shown in the Order They Entered a Stepwise Cox Regression Model	0	11	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	8.242556	3.2811804	-146.37094	8.817643	-81.40019
5	5	Logistic Regression Models for Pre- and Post-Transplant Predictors for Normalization of Left Ventricular Ejection Fraction  (LVEF 50%)  in the Post-Transplant Period  (Reference Group: Group With LVEF 50% in the Post-Transplant Period)	0	21	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	13.225922	-0.97631407	107.89072	130.8689	-55.291992
6	6	Results of Survival Analysis  (Cox Proportional Hazards Model)  for the Combined End Point: Cardiac Mortality + Urgent Heart Transplantation + Readmission for Congestive Heart Failure	0	17	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	5.6147494	8.802479	124.24056	16.723385	-6.6259217
7	7	Impact of Normal Versus Reduced Left Ventricular Ejection Fraction on the Mortality of Congestive Heart Failure Cases: Results of Cox Proportional Hazards Regression Models	0	17	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	4.419053	8.055964	127.55127	27.194212	-41.71926
8	8	Description of the Left Ventricular Ejection Fraction  (LVEF%)  at Different Time Periods: At the Time of Transplant Evaluation, While on the Waiting List to be Transplanted, and During the Follow-Up After Kidney Transplantation	0	15	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	12.462818	-1.2678202	96.68417	108.18609	-65.152824
9	9	Univariate Cox Regression Analysis and Cox Proportional Hazards Analysis of Predictors of Cardiac Death legend	0	10	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	9.879312	5.7678313	45.471752	-115.20811	79.15913
10	10	Gender-Specific Mean and Standard Deviation of LV Mass, End-Diastolic Volume, Stroke Volume, Ejection Fraction, and Cardiac Output by Cardiac MRI in MESA Participants	0	15	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	7.941769	-17.331753	104.30818	59.27679	-113.74892
11	11	Results of Multiple Logistic Regression Analysis: Final Significant Variables in Equation Using Forward Stepwise Selection  (Wald)	0	12	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	10.830174	2.0605228	27.68589	90.90104	-29.683985
12	12	Multivariable Cox Proportional Regression Analysis Showing Significant Predictors of Outcome  (Death, Heart Transplant, or Left Ventricular Assist Device Implantation)  in Cardiac Resynchronization Therapy Patients	0	14	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	9.8792095	7.0329175	133.00696	81.86411	-82.76946
13	13	Multiple regression analysis using Cox's proportional hazards model to determine the influence of individual variables on survival in hypopituitarism	0	11	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	8.23823	6.729453	55.159103	54.554237	-10.591427
14	14	ORs and RRs  (95% Confidence Intervals)  for Other Correlates of Preserved Left Ventricular Systolic Function in Order of Entry Into the Full Logistic Model	0	9	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	5.918713	-1.0695376	63.385067	39.046913	-106.4544
15	15	Multiple Regression Analysis of Variables Associated With CD40L Levels; Entire Model  (Regression Summary for Dependent Variable: R2= 0.60, F = 5.58; p < 0.00005)  and Final Model With Stepwise Method	0	10	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	9.484116	2.6230102	119.05351	71.02622	-39.873447
16	16	Final multivariable Cox proportional hazards model of time to first late seizure in the derivation cohort	0	10	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	4.6279173	5.543165	45.714924	1.6905954	-28.640127
