term	Category	Freq	Term	Total	loglift	logprob
226	Default	0.99	CIN2	90.33005740773417	25.0	25.0
1260	Default	0.99	Echocardiographic	86.19374650875072	24.313133797704864	24.313133797704864
922	Default	0.99	Cut-Off	51.95544430282967	18.62760067808523	18.62760067808523
1977	Default	0.99	(Derivation	29.623282277688045	14.91917360529957	14.91917360529957
1814	Default	0.99	lung,	29.57746492772543	14.911565282343046	14.911565282343046
1838	Default	0.99	Genetic	28.490504072345168	14.7310670816488	14.7310670816488
787	Default	0.99	Size,	27.149860884069582	14.508442980643723	14.508442980643723
1324	Default	0.99	index,	22.341212755687405	13.709930016125703	13.709930016125703
365	Default	0.99	weight,	18.396849579330087	13.054938207825426	13.054938207825426
1279	Default	0.99	ST2	16.083497824947894	12.670788376511782	12.670788376511782
724	Default	0.99	Group])	13.462460235479709	12.235544948462588	12.235544948462588
1855	Default	0.99	Peptides	13.326560335235348	12.212977725965828	12.212977725965828
189	Default	0.99	n	13.170795297549313	12.187111744781468	12.187111744781468
294	Default	0.99	sensitivity/neurology	10.943630277948367	11.817273882914309	11.817273882914309
1583	Default	0.99	Not	9.710839054523188	11.612559429253457	11.612559429253457
501	Default	0.99	part	8.960586377772536	11.487974208406513	11.487974208406513
223	Default	0.99	respiratory	8.701986118426188	11.445031648626149	11.445031648626149
1267	Default	0.99	Operative	7.74019624656896	11.285319051381379	11.285319051381379
1031	Default	0.99	31,	7.370688747235242	11.223959492347918	11.223959492347918
1989	Default	0.99	multivariable	7.366817478286563	11.223316638397677	11.223316638397677
210	Default	0.99	careHPV	7.338894264319311	11.218679774196227	11.218679774196227
195	Default	0.99	onset	7.261490378425291	11.205826264282361	11.205826264282361
556	Default	0.99	Lumen,	7.121952093548371	11.182654860065202	11.182654860065202
164	Default	0.99	quinacrine	6.867708669432202	11.140435786246524	11.140435786246524
1531	Default	0.99	smear-positive,	6.8015271010344875	11.129445828369217	11.129445828369217
1379	Default	0.99	hormone-receptor-positive	6.557327182441131	11.088894555802588	11.088894555802588
199	Default	0.99	external	6.403535519735561	11.063356268694337	11.063356268694337
799	Default	0.99	agencies,	6.173227356235996	11.025111828785482	11.025111828785482
843	Default	0.99	Elevation	5.971846669673602	10.991671018659558	10.991671018659558
1160	Default	0.99	race-specific	5.614392904121927	10.93231307472432	10.93231307472432
1172	Default	0.99	1999:	5.355428341159683	10.889310019529747	10.889310019529747
514	Default	0.99	followed-up	5.324074734148212	10.884103512209053	10.884103512209053
860	Default	0.99	Blood	4.837919220230055	10.803373654196719	10.803373654196719
1738	Default	0.99	countries	4.699978525424379	10.780467542084496	10.780467542084496
691	Default	0.99	Bactec	4.579030818966664	10.76038324623736	10.76038324623736
836	Default	0.99	(MedDRA	4.549445931652351	10.755470448410701	10.755470448410701
1497	Default	0.99	(young	4.530172646280277	10.752269971306205	10.752269971306205
659	Default	0.99	Predictive	4.387194956472935	10.728527427476864	10.728527427476864
1536	Default	0.99	Inflammation,	4.371979875969386	10.726000846468253	10.726000846468253
1607	Default	0.99	Measured	4.319864431333264	10.71734667650561	10.71734667650561
1334	Default	0.99	survival,	4.1124309033137685	10.682900745554324	10.682900745554324
1740	Default	0.99	day	4.0140941928050715	10.666571179295195	10.666571179295195
1447	Default	0.99	Serum-antibody	3.9734800188492923	10.659826883688398	10.659826883688398
1193	Default	0.99	Increasing	3.958130247778187	10.657277936276273	10.657277936276273
442	Default	0.99	maternal	3.913674773609003	10.649895763257962	10.649895763257962
879	Default	0.99	referrals	3.8856915824559435	10.645248939384032	10.645248939384032
1767	Default	0.99	34	3.863778780278906	10.641610150235786	10.641610150235786
7	Default	0.99	(N	3.784315819036809	10.628414715041373	10.628414715041373
173	Default	0.99	gray	3.7726328162677523	10.626474662676026	10.626474662676026
